PC,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
1,0.13064067648326821,13.064067648326821,0.13064067648326821,13.064067648326821
2,0.1047368021163448,10.47368021163448,0.235377478599613,23.5377478599613
3,0.08078933253855007,8.078933253855007,0.3161668111381631,31.61668111381631
4,0.06655753219550027,6.655753219550027,0.38272434333366334,38.272434333366334
5,0.053610608155192446,5.361060815519244,0.4363349514888558,43.63349514888558
6,0.05303134915256538,5.303134915256538,0.48936630064142117,48.936630064142115
7,0.05201795813016837,5.201795813016838,0.5413842587715896,54.13842587715896
8,0.0512809544592244,5.1280954459224395,0.592665213230814,59.2665213230814
9,0.05033223151994608,5.033223151994608,0.64299744475076,64.29974447507601
10,0.049063561481619604,4.906356148161961,0.6920610062323796,69.20610062323796
11,0.0488578927472098,4.88578927472098,0.7409188989795894,74.09188989795894
12,0.04712514875867889,4.712514875867889,0.7880440477382683,78.80440477382683
13,0.04642933918886967,4.642933918886967,0.834473386927138,83.4473386927138
14,0.045332352860231497,4.5332352860231495,0.8798057397873695,87.98057397873696
15,0.038375360797598776,3.8375360797598774,0.9181811005849683,91.81811005849683
16,0.029828040421505653,2.9828040421505655,0.9480091410064739,94.80091410064739
17,0.023916230097573325,2.3916230097573323,0.9719253711040473,97.19253711040473
18,0.021918271111605485,2.1918271111605483,0.9938436422156528,99.38436422156528
19,0.006156357784347379,0.6156357784347379,1.0000000000000002,100.00000000000003
