feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
H_algebraic,0.5160964702294192,-0.07598457957071646,0.004128562547676486,-0.004667561216439704,0.12802368741986653,-0.06841630883877857,0.05217808006704659,-0.02360911768001436,0.07246130290931238,-0.059956991818510365,-0.009041408847863117,-0.0366055671786162,-0.004830553415366901,-0.02026589833589675,-0.06857416735996738,-0.028602496050822476,-0.3621428689843298,0.7402698953435877,-0.09006895184236656
H_geometric,0.575465608407138,-0.1392470382300572,-0.02764232778244685,-0.004208586426002024,0.0036069798977503556,-0.010172647231095759,0.0010037395215741606,0.005085083791499103,-0.011489439653405488,0.007169194740187219,0.010756715407497548,0.019771355542943198,0.0019603712062673984,0.00014080654429451418,0.05386807841522995,0.025439868410164844,0.20507777097012053,-0.3893823053975052,-0.6712720143201617
H_arithmetic,0.5878315066215685,-0.13398626951580556,-0.03893085287293193,0.014344983513731204,0.02687389179333011,-0.012828176448019186,0.010220391438823013,-0.0023383318632180816,0.004467369431841014,-0.009721639686435827,0.006577837037515949,0.0013023562693365287,0.0030041184128586076,-0.000645289197502517,0.010830682129232466,0.0054410814180203,0.12383627301707029,-0.2797801502243838,0.7347486511022532
H_pos_base2,0.08924863256037864,0.42497464534256757,-0.35639754861583073,0.12073815638773452,-0.13727660927185645,0.059779989153961086,-0.08515665023592933,0.015166434629993302,0.05759648995371174,-0.06802806778092885,-0.010392150486024597,-0.16218299360972216,0.026120097264510412,0.03169353192460537,-0.5165696425496478,0.05923262892586573,-0.49802715296325895,-0.2910238114453062,-0.028500698122797936
H_pos_base3,0.04912891983330054,0.16957951968521487,0.3971197751439945,0.5671513737694847,0.040278791741223785,0.08622210275461524,0.056567364536000336,-0.007138429173460766,-0.05575876400206406,-0.04661272996304276,0.06445600933331191,-0.004603854531385395,0.03422514980714759,-0.04165405020500218,-0.0848428513982088,-0.6746090510431539,0.02713112943442541,-0.03968359065962771,-0.013650520327789068
H_pos_base4,0.08230693797020014,0.4809893471686133,-0.36056472293633496,0.09359316491815127,0.10671695200924432,-0.006350917143631766,0.01532370700470367,0.005884002725878191,-0.09141022186592568,0.05911536313425913,0.04227027519163512,0.11329859144353874,-0.02643022668511741,0.03833624146686247,-0.21319019769837763,0.038820445505387095,0.6661143584649852,0.30346059645978635,0.0037617557529891
H_pos_base5,0.03130326323216871,0.11059393659277511,0.10841527686878685,-0.14437660557527077,0.2885231836918468,0.6203844929342561,-0.17681041246335902,-0.13185813784386832,0.4609031601527236,0.21779085995766426,-0.3375834401370161,0.02518903125678744,0.23572293423535765,-0.07479809091968177,0.002029134924977007,-0.011522452738159555,0.03990523517592749,-0.008098916316932192,-0.0017217973888210142
H_pos_base6,0.04113767833981961,0.1305370374942021,0.11633242739502896,-0.279235705753497,-0.057710456490086354,0.3029791687447869,0.2875381994960606,-0.5833640314254288,-0.20594659704303253,0.03614421505768296,0.2382443103489592,-0.2329900390380581,-0.4404219631600207,-0.14355518800961983,-0.028360514832427183,-0.03511104118901658,-0.0023937720701928712,-0.01597463488086673,0.0007360992071628915
H_pos_base7,0.02479774875718366,0.0994725048907484,0.1636174589994922,-0.19526520741400868,0.31725318009424425,0.3056200620530825,-0.11672539459994934,0.5914545410549981,-0.3358080784527079,-0.3493584815848088,-0.06015369790156069,-0.22142006742132486,-0.2788242865861733,-0.006082868342495163,-0.013646616013808423,0.03761547871017234,0.006359682184133971,-0.01444225921399159,0.000856231397244377
H_pos_base8,0.07205114586209811,0.32987916749877283,-0.1085323413835158,-0.01939231933956869,-0.3712501526206971,-0.05410456576802912,-0.10677481727192223,0.012972756331212547,0.2744665800159302,-0.3498950860227966,-0.05709068223114314,-0.40031737371505166,0.06678904634037634,-0.18802793800790638,0.5524607810865488,-0.08640304050411476,0.06950252918544048,0.05353034609999417,0.006949818406899769
H_pos_base9,0.06250484534332174,0.22270383818868678,0.4502455703221401,0.46649212313597643,-0.018870931898932505,0.016590933711327367,0.004380935051330057,-0.10099161086868413,-0.04660956023611552,-0.021884095682533272,-0.03884781012670003,0.006061630695078403,-0.018398455568670036,-0.006885351750778316,0.07674243809133838,0.7102665286022176,-0.012365311309116831,0.012623326692221232,0.006851025549482815
H_pos_base10,0.034711851816171604,0.11575158523314781,0.11884023381940768,-0.1512756133212604,-0.2721608649966918,-0.0052409503171819884,0.7409670612591192,0.22284849330864132,-0.024398399098793704,0.0320642072672469,-0.497107300859006,0.07771268967886004,0.10637422560525969,-0.030415349524441408,-0.08979144855548021,-0.011168655573339467,0.016863046469699113,-0.010111576732979041,0.001989952475074837
H_pos_base11,0.03794608872392121,0.15208482115827218,0.2095557745730413,-0.12517682539115918,-0.045018520939014636,-0.09607639075602127,0.13427776060153257,0.4154816442589444,0.4102875033865452,0.49329673818785297,0.4981721797567052,-0.1873399644315054,-0.12812150840948272,0.01789106260291889,-0.03301188269962385,0.029374099067773884,0.014129710020820889,-0.008176459940260544,0.005564244842469361
H_pos_base12,0.05671259161772696,0.18020656504914503,0.21164270842891963,-0.3023469619355828,-0.07086945188864062,0.12842177917700356,0.061947686386677366,-0.07007168380274156,-0.15096924922975213,-0.2567973233407511,0.3998063172186091,0.117132808150166,0.6067863381306939,0.4086118806225685,0.0013918373749847279,0.009839351980443578,-0.014440895977695914,0.007257233493669208,0.0050708502743079895
H_pos_base13,0.0458766100754363,0.1754266893073287,0.25327840386084083,-0.27204255607107747,-0.15458473099804845,-0.14316297140346004,-0.2077294229889929,0.021309123510309336,0.1639170792323257,-0.2529875279471763,0.07332518699447921,0.5963688675934682,-0.14738500355556694,-0.4838642555229529,-0.17765117439418582,-0.024517588247122496,-0.00996091103753631,-0.030028148497066774,0.007295063712977673
H_pos_base14,0.06815151932270931,0.18714461162064627,0.2587331475917094,-0.19811237842016946,-0.13485055992169845,-0.2428784134633974,-0.29161212911525664,-0.1197319475251074,0.08252763172877184,0.07459622054980826,-0.34418498997964503,0.01944738198951599,-0.35115842572585587,0.6378291507764686,-0.022786487652514186,-0.12311011707496572,0.02312575197194079,0.0015617578463684757,0.005019380209079171
H_pos_base15,0.04514571324789556,0.1532353642568935,0.21074229581508405,-0.227505759641755,0.0860284204180429,-0.3443235677953264,-0.2511723998636233,-0.07240713349935471,-0.39435866783756013,0.3625556470066175,-0.18786197674564248,-0.33054404874107013,0.34471510044784104,-0.3518218861738979,-0.08875712044091026,-0.0412853605323617,0.013609570532970471,-0.010306737457563116,0.0046778872404225035
H_pos_base16,0.062243912028695836,0.3895794117493785,-0.18748386679796647,-0.0001400202311748761,0.29817078913735395,-0.03724479215636577,0.1011610806766559,0.027953798180748907,-0.21516826495101413,0.264297997064622,0.01446935457379503,0.3875230730770666,-0.07172703642686529,0.027318089278874337,0.5543238196201048,-0.07034392599927224,-0.33184610495738137,-0.11431913300562617,0.0074942790022708376
H_dynamical_collatz,-0.09421391479050692,0.0923928440695636,0.054132328695219396,-0.06955731687338587,0.6372613013409199,-0.4307455195067542,0.27402578667713984,-0.18220575246868337,0.3278405638113897,-0.3332956642997416,-0.011062383677564342,-0.15667405277803403,0.020110850455692036,0.0073126663511096915,-0.06559610335252461,0.013166133073659537,0.027000213267302835,-0.1609092779440951,-0.009825466013856464
