PC,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
1,0.13370410746975525,13.370410746975525,0.13370410746975525,13.370410746975525
2,0.10231089837740255,10.231089837740255,0.2360150058471578,23.60150058471578
3,0.0842150404611412,8.42150404611412,0.320230046308299,32.0230046308299
4,0.06742215955015528,6.742215955015528,0.3876522058584543,38.76522058584543
5,0.0661370065160869,6.613700651608689,0.4537892123745412,45.378921237454115
6,0.06512816342141847,6.512816342141847,0.5189173757959596,51.89173757959596
7,0.06425789853709753,6.425789853709753,0.5831752743330572,58.31752743330571
8,0.06261062248020406,6.261062248020406,0.6457858968132613,64.57858968132612
9,0.06188613423146915,6.188613423146915,0.7076720310447304,70.76720310447304
10,0.05984041976562038,5.984041976562038,0.7675124508103508,76.75124508103508
11,0.058810243840957586,5.881024384095759,0.8263226946513084,82.63226946513083
12,0.05742598388972769,5.742598388972769,0.883748678541036,88.3748678541036
13,0.048594714709483545,4.859471470948354,0.9323433932505195,93.23433932505195
14,0.03776656597708021,3.776656597708021,0.9701099592275997,97.01099592275997
15,0.029890040772400202,2.98900407724002,0.9999999999999999,99.99999999999999
